duration,v_3,v_4,v_5,v_7,v_8,v_9,Headlines AVG Score,v_12,v_13,v_15,v_17,v_18,v_16,v_25,v_26,v_23,v_24,v_14,v_1,v_2
248,5,2,1,2,3,2,8,1,1,3,6,5,4,4,1,1,3,2,2,2
375,5,2,3,1,3,3,10,1,3,1,6,6,6,2,1,5,6,2,2,1
539,5,2,1,2,1,1,5,1,1,3,5,6,5,1,1,5,7,5,2,1
295,5,2,1,3,2,3,9,2,2,3,5,4,6,3,2,5,5,4,2,1
198,1,2,2,3,2,2,9,2,3,4,2,1,5,2,1,3,2,3,3,1
479,1,3,1,1,2,1,5,2,4,5,7,4,3,2,3,5,7,3,2,2
448,1,2,1,1,1,2,5,3,4,3,6,4,5,2,1,6,4,3,2,1
240,1,2,1,2,1,1,5,4,4,3,5,4,5,4,3,4,5,4,2,1
373,5,2,2,2,2,2,8,1,2,2,7,4,7,5,3,3,4,1,3,1
138,5,2,2,2,3,1,8,2,3,1,1,6,7,3,1,3,6,1,3,2
233,5,2,1,1,1,3,6,2,2,2,3,3,5,2,3,3,2,5,2,1
171,5,2,3,3,3,1,10,2,1,2,2,7,4,2,1,7,7,4,3,1
99,5,1,3,3,3,3,12,5,6,4,3,3,2,7,4,1,2,4,2,2
183,5,1,3,3,3,3,12,3,2,3,1,4,7,3,1,5,4,2,2,1
114,5,3,3,3,3,3,12,1,1,1,1,1,1,5,1,1,7,1,2,2
86,5,1,3,3,3,3,12,1,1,1,1,1,1,1,1,1,1,1,2,1
323,1,2,1,1,1,1,4,3,2,2,6,3,5,3,1,7,7,4,2,1
492,5,1,3,3,3,2,11,7,2,5,4,5,4,5,5,4,5,4,2,2
307,5,2,1,1,1,1,4,1,2,2,5,6,6,2,1,2,4,5,2,2
230,5,1,3,3,3,3,12,2,2,1,1,2,1,2,2,2,6,3,3,1
207,5,3,2,2,1,2,7,1,2,1,4,6,4,4,1,2,6,1,2,1
381,5,2,1,2,1,1,5,2,2,2,7,3,7,3,1,4,2,3,2,1
272,5,2,2,2,3,2,9,2,2,1,6,5,6,3,1,2,5,3,2,2
293,5,2,1,2,3,2,8,3,2,2,5,6,6,7,1,3,5,1,2,2
120,5,1,3,3,3,3,12,7,2,1,7,5,6,2,1,5,5,3,2,1
249,5,3,1,2,1,1,5,4,5,3,6,4,6,1,2,2,2,4,2,2
260,1,1,1,1,2,1,5,4,2,2,3,4,5,3,1,3,7,5,2,2
169,5,2,1,3,2,2,8,1,1,1,1,1,2,1,1,5,2,2,2,2
289,5,2,2,2,2,2,8,1,2,1,4,6,7,2,1,1,7,1,2,2
200,1,2,3,2,2,2,9,3,3,3,6,6,5,3,1,3,4,2,2,1
368,3,2,2,2,2,2,8,1,4,2,3,5,5,3,1,2,5,2,3,2
55,2,1,1,1,2,1,5,4,4,4,4,4,4,4,4,6,1,4,2,1
219,1,1,3,3,3,2,11,3,3,3,7,5,3,5,1,3,7,3,2,2
217,1,2,3,3,3,2,11,3,2,2,7,5,3,4,1,1,7,2,2,2
167,5,2,1,1,1,1,4,3,2,2,6,3,3,3,2,2,5,3,2,2
203,1,2,2,3,3,1,9,2,3,2,7,7,7,4,1,5,6,4,2,1
491,5,3,2,1,1,2,6,3,2,2,3,3,6,1,1,2,7,2,2,2
278,1,2,1,2,2,3,8,4,4,4,4,4,4,1,1,1,1,4,3,2
215,1,2,2,2,2,2,8,2,4,3,6,5,5,2,1,3,6,2,2,1
133,5,2,1,2,1,2,6,2,2,2,6,3,4,2,1,2,3,2,3,2
270,5,2,3,3,2,2,10,2,2,2,6,5,3,3,1,2,7,5,2,2
151,5,2,2,2,2,3,9,3,3,1,7,2,1,2,1,2,7,1,2,2
173,5,3,3,3,3,3,12,1,3,2,7,5,7,1,1,1,7,1,2,1
188,5,2,1,2,2,2,7,1,2,1,7,3,6,5,1,4,7,3,2,2
259,5,2,3,3,3,3,12,1,3,7,7,5,2,1,2,5,7,4,3,1
121,5,2,1,1,1,1,4,5,2,1,7,3,5,3,2,7,3,6,2,1
221,5,1,2,2,2,3,9,7,4,3,6,6,4,1,1,1,7,5,2,1
148,5,2,2,3,3,2,10,1,1,1,5,7,6,2,2,4,3,1,3,1
228,5,2,1,2,1,2,6,1,3,2,7,2,6,3,1,1,7,2,2,1
283,5,2,3,1,1,3,8,1,3,3,5,4,6,3,2,5,5,3,2,2
201,5,2,1,1,1,1,4,5,2,3,6,6,7,5,3,3,3,5,2,1
390,5,2,1,1,1,3,6,3,2,2,6,5,6,4,2,3,4,5,2,1
302,1,1,1,1,2,1,5,2,4,2,1,3,4,5,1,5,3,5,2,1
201,5,2,3,3,3,3,12,1,5,5,7,5,4,3,1,2,5,4,2,1
329,5,2,1,1,1,3,6,1,1,4,5,6,3,2,1,5,2,6,2,1
225,1,2,1,1,1,1,4,1,1,1,5,7,5,2,1,2,3,2,2,1
199,5,2,1,2,2,2,7,3,5,1,7,6,5,3,1,4,7,2,2,1
328,5,2,2,3,1,2,8,1,2,2,6,4,2,1,1,5,6,2,2,2
391,5,2,2,3,2,2,9,2,3,2,6,5,4,4,1,5,5,3,2,1
206,5,2,1,3,1,1,6,2,3,3,5,6,5,3,1,2,7,7,2,2
291,5,2,1,3,2,2,8,2,2,2,6,5,2,2,1,3,6,2,2,1
46,5,2,1,1,1,3,6,5,6,3,5,6,6,5,6,6,5,5,2,2
85,1,1,2,3,3,1,9,4,3,5,4,3,5,4,3,5,4,4,2,1
