duration,v_3,v_4,v_5,v_7,v_8,v_9,Headlines AVG Score,v_12,v_13,v_15,v_17,v_18,v_16,v_25,v_26,v_23,v_24,v_14,v_1,v_2
333,1,3,1,1,1,1,4,2,3,3,3,2,3,3,1,1,4,5,2,2
146,5,2,3,3,3,3,12,2,2,3,7,7,4,1,1,1,7,7,2,2
336,1,3,3,3,3,2,11,5,4,5,5,5,4,6,5,5,5,5,2,2
235,1,3,3,3,1,3,10,2,2,2,4,3,3,2,1,3,2,3,2,2
240,1,2,2,2,1,1,6,2,4,2,3,5,5,1,1,4,6,3,2,2
197,5,2,1,2,2,2,7,2,2,1,7,5,7,4,4,4,5,1,2,1
210,1,1,3,2,1,3,9,4,3,3,6,2,6,5,1,6,6,4,2,1
223,1,2,1,3,2,2,8,3,2,2,3,5,6,4,1,3,1,2,2,2
151,5,2,2,3,3,2,10,3,2,4,5,3,5,3,1,3,6,5,2,2
144,5,2,1,1,1,1,4,4,6,4,6,3,6,5,1,3,6,2,2,2
287,3,1,2,1,2,2,7,5,5,5,5,5,4,5,4,4,5,5,2,2
445,1,2,3,1,1,1,6,6,2,2,7,3,2,5,1,4,7,2,3,1
173,5,3,2,2,2,2,8,5,2,2,5,7,6,2,2,3,5,5,3,2
251,5,2,3,3,3,3,12,2,4,4,6,4,7,3,2,4,3,2,5,1
117,5,3,3,3,3,3,12,5,4,3,5,4,4,5,1,2,6,4,2,2
197,1,3,3,3,2,2,10,3,4,4,6,5,6,4,1,2,6,5,2,2
160,1,3,2,1,1,1,5,3,2,3,5,6,4,1,1,4,5,2,2,2
153,5,2,2,3,3,3,11,4,2,2,6,6,7,5,1,3,7,1,1,2
339,5,2,1,1,2,1,5,4,5,6,7,3,5,2,7,7,7,5,2,1
403,5,2,2,2,2,3,9,4,4,3,6,4,5,1,1,1,7,5,2,2
296,1,2,2,3,2,2,9,1,3,2,4,4,2,2,4,5,4,1,2,1
287,1,1,2,2,2,2,8,3,3,3,5,4,5,5,3,4,3,4,2,1
266,5,2,1,2,2,2,7,3,4,4,5,3,3,3,1,3,4,6,2,2
50,4,1,1,1,1,1,4,5,5,4,5,4,6,5,6,6,3,3,4,1
202,5,2,2,3,3,3,11,1,1,1,7,6,7,2,1,4,4,3,4,2
183,5,2,3,2,1,2,8,2,3,3,4,3,1,3,1,2,5,2,2,1
211,5,2,2,2,2,2,8,1,4,3,3,4,5,3,1,5,5,4,2,2
196,5,2,3,3,3,1,10,3,2,1,6,6,6,4,1,2,5,3,1,3
241,1,2,3,1,2,2,8,1,2,1,5,7,6,1,1,2,7,2,2,1
216,5,2,3,3,3,3,12,1,1,4,7,6,3,1,1,4,7,1,2,2
230,5,2,3,2,2,2,9,1,1,1,3,5,7,3,1,3,5,2,2,1
159,5,2,3,3,3,3,12,1,1,1,7,1,1,1,1,1,7,1,3,2
230,1,2,1,2,2,1,6,3,4,2,5,3,6,4,1,2,4,3,2,2
185,5,3,1,3,1,1,6,3,3,3,4,4,5,5,1,5,5,5,2,2
325,5,2,2,2,2,2,8,2,2,1,1,5,2,2,1,2,7,4,2,2
196,2,1,1,2,1,1,5,3,4,3,3,2,2,4,4,5,5,4,2,3
91,1,2,2,2,2,1,7,3,4,2,5,4,1,3,6,6,3,2,3,2
440,5,2,1,1,2,2,6,1,3,1,7,6,5,2,1,4,7,2,2,2
-1,5,2,2,2,2,2,8,3,7,1,7,7,7,5,1,1,7,2,2,3
-1,1,2,3,3,3,3,12,1,1,1,1,4,6,1,1,4,6,4,2,2
189,5,2,1,2,2,2,7,4,2,1,7,3,4,1,2,3,7,5,2,2
213,5,2,1,2,2,2,7,3,3,4,7,7,5,6,1,1,6,2,3,3
163,5,2,3,3,3,3,12,2,2,2,6,6,6,5,1,1,6,2,2,2
195,5,2,2,3,2,2,9,3,2,1,5,4,3,2,1,3,5,1,2,1
133,5,3,3,3,3,2,11,5,4,4,5,3,5,5,1,2,6,5,2,2
154,5,2,3,2,1,2,8,2,3,3,6,5,3,3,1,1,3,3,2,2
143,5,3,3,3,3,3,12,2,2,4,5,2,7,4,1,6,4,4,2,2
397,1,3,1,3,3,1,8,1,1,1,7,7,7,2,1,2,7,2,2,1
-1,5,2,3,3,3,3,12,1,1,3,4,5,5,1,1,1,5,4,3,2
98,1,2,3,3,3,3,12,1,1,1,1,1,1,1,1,1,1,1,2,2
129,5,2,3,3,3,3,12,1,1,1,1,1,1,1,1,1,1,1,2,2
153,5,2,2,3,2,2,9,2,2,2,2,3,4,4,1,3,7,4,2,2
224,5,2,3,1,1,1,6,2,2,4,7,4,4,7,1,5,7,3,2,2
155,5,2,3,3,3,3,12,1,3,2,4,4,4,2,1,1,7,4,2,2
203,5,2,3,3,3,3,12,1,1,3,3,4,1,2,1,5,7,7,3,2
112,5,2,1,1,1,1,4,2,2,3,6,4,4,2,1,2,4,7,2,2
192,5,2,3,3,3,3,12,4,3,2,5,5,5,2,1,4,6,2,2,3
130,1,2,2,3,2,2,9,2,2,1,6,2,6,2,4,3,3,1,2,1
148,5,2,3,3,3,3,12,3,3,2,5,5,4,1,1,4,6,3,2,1
261,5,2,1,2,1,1,5,3,2,3,6,5,7,5,1,5,6,4,2,2
192,5,2,2,1,1,2,6,2,2,1,7,5,5,6,1,3,4,3,2,1
177,5,2,1,3,1,2,7,3,2,2,1,1,3,5,2,1,7,3,2,2
181,5,2,1,3,3,2,9,3,3,1,7,4,6,2,4,3,5,1,2,1
174,5,2,1,1,1,1,4,1,3,2,2,3,7,5,1,1,7,5,2,2
217,5,2,1,2,2,2,7,2,2,2,5,6,5,2,1,2,6,2,2,2
150,1,2,1,1,1,1,4,4,3,3,6,4,5,6,2,3,7,4,2,2
220,5,2,1,1,1,1,4,1,4,4,5,3,1,2,1,3,7,6,3,2
240,1,2,3,1,1,2,7,1,4,4,6,5,4,2,1,3,5,5,2,2
296,2,2,3,3,3,3,12,5,2,1,5,5,5,2,1,1,1,2,2,2
171,1,1,3,3,3,3,12,1,3,2,5,5,3,3,1,3,6,3,2,2
240,2,2,2,2,2,2,8,3,4,3,5,4,1,3,2,1,6,2,2,1
146,5,2,3,2,1,2,8,3,2,2,6,5,4,3,2,5,5,6,2,1
144,5,2,3,3,3,2,11,2,3,7,7,4,6,1,1,4,7,4,2,1
199,5,2,1,1,2,1,5,3,2,3,6,4,7,2,1,3,7,2,2,1
264,5,2,3,3,2,2,10,3,1,1,5,5,4,6,1,1,7,5,1,2
212,5,2,2,2,2,2,8,2,3,2,6,5,6,1,1,2,6,2,2,2
197,5,2,1,1,1,1,4,1,1,2,4,4,6,1,1,2,6,6,2,2
381,5,2,2,2,3,3,10,1,1,1,1,6,6,4,1,5,7,2,2,1
292,5,2,1,1,1,3,6,1,2,1,2,7,7,5,1,7,7,3,3,2
289,5,2,1,1,2,1,5,1,3,3,7,3,5,4,2,2,7,4,2,2
255,5,2,3,3,3,2,11,4,3,3,5,3,5,3,1,1,7,4,2,2
106,5,2,1,1,1,1,4,2,2,2,4,6,5,4,1,2,5,5,2,2
211,1,2,3,3,3,3,12,2,1,1,7,7,1,1,1,1,7,1,2,3
240,5,2,1,2,2,2,7,4,2,2,5,6,6,1,1,1,6,2,2,2
192,1,2,1,3,1,1,6,1,1,1,1,7,6,1,1,1,7,1,2,3
317,5,2,2,2,1,2,7,2,2,3,5,4,5,2,1,2,6,3,2,1
236,5,2,3,3,3,3,12,1,3,2,5,3,5,2,2,4,6,4,1,1
122,5,2,3,3,3,3,12,1,2,3,6,6,6,2,1,4,4,1,2,3
221,5,2,2,2,2,2,8,3,2,2,6,6,7,2,1,6,4,2,2,1
241,5,2,3,1,1,1,6,1,4,4,2,4,2,1,1,2,7,5,2,2
211,5,2,3,3,3,3,12,1,2,2,4,4,3,1,1,2,5,1,2,2
142,5,2,1,1,1,1,4,4,3,3,7,6,4,4,1,5,7,1,2,1
83,1,2,3,3,3,3,12,1,1,1,1,1,1,2,1,3,5,6,2,2
143,5,2,3,3,3,2,11,1,2,2,7,6,5,2,1,3,4,1,2,1
246,5,2,1,2,2,2,7,2,5,2,7,5,6,2,1,3,6,4,2,2
190,5,2,1,2,1,1,5,1,3,3,4,3,4,1,1,2,5,4,2,2
72,2,1,1,2,1,1,5,4,4,4,4,4,4,4,4,4,4,4,2,1
66,3,2,3,3,3,2,11,4,4,3,4,5,4,4,5,4,4,4,3,2
-1,1,2,2,2,2,1,7,1,4,3,7,7,6,1,2,2,2,4,3,2
482,5,2,1,3,2,3,9,2,2,2,6,6,5,6,1,3,4,4,2,2
223,1,2,3,3,2,2,10,1,3,4,2,6,6,2,1,3,7,1,3,2
388,1,2,1,2,2,2,7,1,4,3,5,5,4,3,1,2,6,2,2,2
124,5,2,3,3,3,3,12,2,3,2,6,4,5,2,1,3,5,2,3,2
